🚀 Production server running on port 3001
📊 Health check: http://localhost:3001/api/health
🔧 Rate limits: http://localhost:3001/api/rate-limits/status
2025-06-25T15:45:37.582Z - HEAD /
2025-06-25T15:46:08.724Z - GET /dashboard
2025-06-25T15:46:08.741Z - GET /api/rate-limits/status
2025-06-25T15:46:08.785Z - GET /api/rate-limits/analytics
2025-06-25T15:46:14.038Z - GET /api/rate-limits/test/yahoo/quote
2025-06-25T15:46:14.549Z - GET /api/rate-limits/status
2025-06-25T15:46:14.557Z - GET /api/rate-limits/analytics
2025-06-25T15:46:18.135Z - GET /api/rate-limits/test/alphavantage/quote
2025-06-25T15:46:18.649Z - GET /api/rate-limits/status
2025-06-25T15:46:18.657Z - GET /api/rate-limits/analytics
2025-06-25T15:46:38.795Z - GET /api/rate-limits/status
2025-06-25T15:46:38.801Z - GET /api/rate-limits/analytics
2025-06-25T17:11:24.379Z - GET /api/rate-limits/status
2025-06-25T17:11:24.390Z - GET /api/rate-limits/analytics
2025-06-25T17:48:07.153Z - GET /api/rate-limits/status
2025-06-25T17:48:07.441Z - GET /api/rate-limits/analytics
2025-06-25T18:18:38.354Z - GET /api/rate-limits/status
2025-06-25T18:18:38.367Z - GET /api/rate-limits/analytics
2025-06-25T18:49:09.983Z - GET /api/rate-limits/status
2025-06-25T18:49:09.990Z - GET /api/rate-limits/analytics
2025-06-25T19:01:39.442Z - GET /api/rate-limits/test/yahoo/quote
2025-06-25T19:01:39.952Z - GET /api/rate-limits/status
2025-06-25T19:01:39.959Z - GET /api/rate-limits/analytics
2025-06-25T19:01:53.014Z - GET /api/rate-limits/status
2025-06-25T19:01:53.019Z - GET /api/rate-limits/analytics
2025-06-25T19:02:12.658Z - GET /
2025-06-25T19:02:12.666Z - GET /dashboard
2025-06-25T19:02:12.682Z - GET /api/rate-limits/status
2025-06-25T19:02:12.730Z - GET /api/rate-limits/analytics
2025-06-25T19:02:20.908Z - GET /dashboard
2025-06-25T19:02:20.915Z - GET /api/rate-limits/status
2025-06-25T19:02:20.919Z - GET /api/rate-limits/analytics
2025-06-25T19:02:23.056Z - GET /api/rate-limits/status
2025-06-25T19:02:23.063Z - GET /api/rate-limits/analytics
2025-06-25T19:02:25.052Z - GET /
2025-06-25T19:02:25.062Z - GET /dashboard
2025-06-25T19:02:25.077Z - GET /api/rate-limits/status
2025-06-25T19:02:25.119Z - GET /api/rate-limits/analytics
2025-06-25T19:02:45.847Z - GET /api
2025-06-25T19:02:50.920Z - GET /api/rate-limits/status
2025-06-25T19:02:50.926Z - GET /api/rate-limits/analytics
